"nom";"adresse";"latitude";"longitude";"id";"image"
"16 rue bastian";"16 rue Bastian";"48.5963009";"7.7184666";"1";"92817"
"22 rue du général castelnau";"22 rue du Général de Castelnau";"48.5891139";"7.750943";"2";"99729"
"4 rue Joseph Guerber";"4 rue Joseph Guerber";"48.5655122";"7.7569232";"3";"92817"
"Ancien Hôtel du Dragon";"2 quai Saint Nicolas";"48.57848107258151";"7.746509313583374";"4";"55828"
"Eglise Saint pierre le jeune (catholique)";"7 rue Saint Léon";"48.58829683135665";"7.748762369155884";"6";"92817"
"1 rue Saint Léon";"1 rue Saint Léon";"48.58871198954252";"7.748309075832367";"7";"92817"
;"98 Route du Polygone";"48.56528747916544";"7.759437561035156";"8";"92817"
;"61 Route du Polygone";"48.568135805172545";"7.757763902481429";"9";"92817"
;"55 Route du Polygone";"48.5684959";"7.7572822";"10";"86453"
"Immeuble le Pythagore";"43 Route du Polygone";"48.56899708320078";"7.757216691970825";"11";"43319"
;"55 avenue Jean Jaurès";"48.5683864";"7.7678124";"12";"92817"
;"23 rue Kageneck";"48.585205";"7.738728";"13";"94643"
"Crédit Foncier d'Alsace et de Lorraine";"1 Rue du Dôme";"48.58415215923924";"7.749534845352173";"14";"76929"
;"14 rue Baldner";"48.568954098403246";"7.758453340475398";"15";"109595"
;"50 Route du Polygone";"48.569002407795686";"7.756723165512085";"16";"100721"
;"14 rue de la Schwanau";"48.57112332684186";"7.756023108959198";"17";"97132"
;"20 boulevard de Lyon";"48.577703821518504";"7.731671333312988";"18";"92817"
;"8 Rue  Turenne";"48.5895387473942";"7.756092846393585";"19";"47489"
;"61 rue de Sélestat";"48.564849053436035";"7.765955328941345";"20";"18758"
;"17 rue d' Obernai";"48.5784265";"7.7315554";"22";"84955"
"Gare de Strasbourg";"20 Place de la Gare";"48.58503931799268";"7.7345359325408935";"23";"80261"
;"5 rue Moll";"48.5859093";"7.7373978";"25";"92817"
"Poste d'aiguillage";"1 square de l' Aiguillage";"48.56333139656308";"7.752807140350342";"26";"90681"
;"4 rue de Koenigshoffen";"48.58047560738439";"7.7285706996917725";"27";"65569"
;"95 rue de Bâle";"48.56728075956029";"7.765445709228516";"28";"92817"
;"9 avenue Léon Dacheux";"48.564502925175546";"7.756540775299072";"29";"86848"
;"7 avenue Léon Dacheux";"48.56441772400963";"7.7561599016189575";"30";"53477"
;"14 avenue Léon Dacheux";"48.5644941";"7.7571108";"31";"92817"
"Cathédrale notre dame de Strasbourg";"2 Place de la Cathédrale";"48.58178869231801";"7.750918865203857";"33";"92817"
