description;floor;id;latitude;longitude;name;related_to_poi;tags;time_created;time_modified;type;url
;;1;48.5803337;7.7655637;Central;0;;2012-03-25 12:01:01;2012-03-28 16:11:27;campus;http://fr.wikipedia.org/wiki/Campus_central_de_Strasbourg
;;2;48.5773720;7.7398735;Médecine;0;;2012-03-25 12:01:01;2012-03-28 16:12:31;campus;http://fr.wikipedia.org/wiki/Campus_M%C3%A9decine
;;3;48.5267163;7.7371001;Ilkirch;0;;2012-03-25 12:01:01;2012-03-28 16:12:59;campus;http://fr.wikipedia.org/wiki/Campus_d%27Illkirch
;;4;48.6056170;7.7116084;Cronenbourg Schiltigheim;0;;2012-03-25 12:01:01;2012-03-28 16:13:32;campus;http://fr.wikipedia.org/wiki/Campus_de_Cronenbourg
;;5;48.5599374;7.7444279;Meinau;0;;2012-03-25 12:01:01;2012-03-28 10:41:45;campus;
;;6;48.5803337;7.7655637;Autres;0;;2012-03-25 12:01:01;2013-11-21 16:12:06;campus;
;0;12;48.5784040;7.7640110;;27;;2012-03-25 12:01:01;2014-02-14 14:57:38;acces_handicap;
;1-3;13;48.5784300;7.7639560;;27;;2012-03-25 12:01:01;2014-02-14 14:54:57;toilettes;
;-1;14;48.5784940;7.7634420;;27;;2012-03-25 12:01:01;2012-03-27 16:55:32;toilettes;
;0;15;48.5785590;7.7634340;AT8;27;;2012-03-25 12:01:01;2012-03-27 16:55:32;amphi;
;2;16;48.5785590;7.7633340;AT9;27;;2012-03-25 12:01:01;2013-01-14 15:38:03;amphi;
;0;17;48.5785443;7.7637198;Spot Numérique Atrium;27;;2012-03-25 12:01:01;2014-02-06 10:40:32;spot_numerique;
;0;18;48.5784770;7.7636540;Centre Culture Numérique;27;;2012-03-25 12:01:01;2014-02-14 14:59:56;autre;http://services-numeriques.unistra.fr/culture-numerique/centre-de-culture-numerique.html
;-1;19;48.5784690;7.7634850;;27;;2012-03-25 12:01:01;2014-02-14 15:01:44;distributeur;
;0-3;20;48.5784690;7.7639820;;27;;2012-03-25 12:01:01;2014-02-14 14:55:52;ascenseur;
Amphi 1 Jean Cavaillès;1;21;48.5783160;7.7648301;Amphi 1 Jean Cavaillès;28;;2012-03-25 12:01:01;2013-11-14 15:56:43;amphi;http://goo.gl/vaYIoe
Acces compliqué  depuis 1er étage prendre passerelle vers Bat 5 puis revenir au 2eme étage de la passerelle.;2;22;48.5781998;7.7646625;Amphi 2;28;;2012-03-25 12:01:01;2012-03-27 16:55:32;amphi;
;1;23;48.5783613;7.7650809;Amphi 3;28;;2012-03-25 12:01:01;2012-03-27 16:55:32;amphi;
;1;24;48.5783373;7.7653478;Amphi 4;28;;2012-03-25 12:01:01;2012-03-27 16:55:32;amphi;
;1;25;48.5783125;7.7656160;Amphi 5;28;;2012-03-25 12:01:01;2012-03-27 16:55:32;amphi;
;1;26;48.5782930;7.7658682;Amphi 6;28;;2012-03-25 12:01:01;2012-03-27 16:55:32;amphi;
;;27;48.5785237;7.7636379;Atrium;1;;2012-03-25 12:01:01;2012-03-28 10:44:05;batiment;
;;28;48.5783125;7.7651748;Patio;1;;2012-03-25 12:01:01;2012-03-28 10:44:05;batiment;
;;29;48.5783001;7.7678275;Athena;1;;2012-03-25 12:01:01;2012-03-28 10:44:05;batiment;
;;30;48.5814000;7.7665660;Bibliothèque Blaise Pascal;1;;2012-03-25 12:01:01;2012-11-12 14:29:42;batiment;http://www-sicd.u-strasbg.fr/bibs/sciences/
;;31;48.5790596;7.7620634;Bibliothèque U2-U3;1;;2012-03-25 12:01:01;2012-03-28 16:04:05;batiment;http://www-sicd.u-strasbg.fr/bibs/u2u3/
;;32;48.5804508;7.7653652;Centre Sportif Universitaire;1;;2012-03-25 12:01:01;2012-03-28 16:06:18;batiment;https://wo.u-strasbg.fr/app/WebObjects/SUAPSWeb.woa/wa/acceuil
;;33;48.5798510;7.7677470;Centre de Neurochimie;1;;2012-03-25 12:01:01;2012-03-28 16:06:57;batiment;http://neurochem.u-strasbg.fr/
;;34;48.5843048;7.7595395;Cité Universitaire Galia;1;;2012-03-25 12:01:01;2012-03-28 16:07:51;batiment;http://crous-strasbourg.fr/logement/residence-la-gallia.html
;;35;48.5812635;7.7683961;Collège Doctoral Européen;1;;2012-03-25 12:01:01;2012-03-28 16:08:20;batiment;http://cde.u-strasbg.fr/
;;36;48.5843189;7.7710247;Ensemble Saint-Georges;1;;2012-03-25 12:01:01;2012-03-28 10:44:06;batiment;
;;44;48.5785059;7.7617979;Escarpe;1;;2012-03-25 12:01:01;2012-03-28 10:47:04;batiment;
;;45;48.5789495;7.7675056;Faculté de Droit;1;;2012-03-25 12:01:01;2012-03-28 10:47:05;batiment;
;;46;48.5841415;7.7716470;Faculté de Géographie;1;;2012-03-25 12:01:01;2012-03-28 10:47:05;batiment;
;;47;48.5846490;7.7647805;Faculté de Psychologie;1;;2012-03-25 12:01:01;2012-11-12 15:30:25;batiment;http://www.unistra.fr/index.php?id=295
;;48;48.5835986;7.7651936;Faculté des sciences de l'éducation;1;;2012-03-25 12:01:01;2012-03-28 10:47:05;batiment;
;;49;48.5834921;7.7629352;Géologie;1;;2012-03-25 12:01:01;2012-03-28 10:47:05;batiment;
;;50;48.5807276;7.7664462;Institut Lebel;1;;2012-03-25 12:01:01;2012-03-28 10:47:05;batiment;
;;51;48.5820761;7.7650407;Institut National des Sciences Appliquées;1;;2012-03-25 12:01:01;2012-03-28 10:47:05;batiment;
;;52;48.5796132;7.7647913;Institut de Biologie Moléculaire et Cellulaire;1;;2012-03-25 12:01:01;2012-03-28 10:47:05;batiment;
;;53;48.5807737;7.7636969;Institut de Biologie Moléculaires des Plantes;1;;2012-03-25 12:01:01;2012-03-28 10:47:05;batiment;
;;54;48.5841699;7.7665669;Institut de Botanique;1;;2012-03-25 12:01:01;2012-03-28 10:47:05;batiment;
;;55;48.5838860;7.7643031;Institut de Physique;1;;2012-03-25 12:01:01;2012-03-28 10:47:05;batiment;
;;56;48.5804934;7.7627796;Institut de Recherches Mathématiques Avancées;1;;2012-03-25 12:01:01;2012-03-28 10:47:05;batiment;
;;57;48.5804898;7.7643836;Institut de Science et d'Ingénierie Supramoléculaire;1;;2012-03-25 12:01:01;2012-03-28 10:47:05;batiment;
;;58;48.5834105;7.7667868;Jardin Botanique;1;;2012-03-25 12:01:01;2012-03-28 10:47:05;parc;
